Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
1970-01-02,109.5,110.25,109.37,110.0,26000.0,0.0,1.0,0.8010398066981085,0.8065263807165887,0.8000888005349053,0.8046975227104286,1664000.0
1970-01-05,110.0,110.75,109.37,110.5,16200.0,0.0,1.0,0.8046975227104286,0.8101840967289088,0.8000888005349053,0.8083552387227487,1036800.0
1970-01-06,110.25,110.25,109.25,110.0,15000.0,0.0,1.0,0.8065263807165887,0.8065263807165887,0.7992109486919484,0.8046975227104286,960000.0
1970-01-07,110.25,112.0,110.25,111.75,22200.0,0.0,1.0,0.8065263807165887,0.8193283867597091,0.8065263807165887,0.817499528753549,1420800.0
1970-01-08,111.75,113.5,111.5,113.0,16600.0,0.0,1.0,0.817499528753549,0.8303015347966695,0.815670670747389,0.8266438187843493,1062400.0
1970-01-09,113.0,113.0,112.25,112.75,8200.0,0.0,1.0,0.8266438187843493,0.8266438187843493,0.8211572447658692,0.8248149607781893,524800.0
1970-01-12,112.75,112.75,112.0,112.0,11600.0,0.0,1.0,0.8248149607781893,0.8248149607781893,0.8193283867597091,0.8193283867597091,742400.0
1970-01-13,112.0,112.25,111.5,111.5,12800.0,0.0,1.0,0.8193283867597091,0.8211572447658692,0.815670670747389,0.815670670747389,819200.0
1970-01-14,112.0,114.75,112.0,112.0,18600.0,0.0,1.0,0.8193283867597091,0.8394458248274698,0.8193283867597091,0.8193283867597091,1190400.0
1970-01-15,112.0,112.5,111.75,112.0,12200.0,0.0,1.0,0.8193283867597091,0.8229861027720292,0.817499528753549,0.8193283867597091,780800.0
1970-01-16,112.75,115.0,112.75,113.25,12800.0,0.0,1.0,0.8248149607781893,0.8412746828336298,0.8248149607781893,0.8284726767905094,819200.0
1970-01-19,113.0,113.0,112.0,112.25,16000.0,0.01016,1.0,0.8267186401758759,0.8267186401758759,0.8194025460150274,0.8212315695552396,1024000.0
1970-01-20,112.5,113.13,112.5,112.63,8400.0,0.0,1.0,0.8230605930954517,0.8276697324167861,0.8230605930954517,0.8240116853363619,537600.0
1970-01-21,112.63,113.5,112.0,113.37,21200.0,0.0,1.0,0.8240116853363619,0.8303766872563001,0.8194025460150274,0.8294255950153898,1356800.0
1970-01-22,113.37,116.25,112.12,116.0,28200.0,0.0,1.0,0.8294255950153898,0.8504959461986333,0.8202804773143293,0.8486669226584213,1804800.0
1970-01-23,115.5,115.5,112.5,112.5,90400.0,0.0,1.0,0.845008875577997,0.845008875577997,0.8230605930954517,0.8230605930954517,5785600.0
1970-01-26,112.5,112.75,111.0,111.0,16600.0,0.0,1.0,0.8230605930954517,0.8248896166356637,0.8120864518541789,0.8120864518541789,1062400.0
1970-01-27,111.25,112.0,111.25,111.25,4600.0,0.0,1.0,0.8139154753943911,0.8194025460150274,0.8139154753943911,0.8139154753943911,294400.0
1970-01-28,111.25,111.88,110.5,110.5,25800.0,0.0,1.0,0.8139154753943911,0.8185246147157256,0.8084284047737548,0.8084284047737548,1651200.0
1970-01-29,110.5,110.5,109.75,110.25,13000.0,0.0,1.0,0.8084284047737548,0.8084284047737548,0.8029413341531184,0.8065993812335426,832000.0
1970-01-30,110.63,111.88,110.63,111.0,13600.0,0.0,1.0,0.809379497014665,0.8185246147157256,0.809379497014665,0.8120864518541789,870400.0
1970-02-02,111.0,111.25,110.0,110.0,76600.0,0.0,1.0,0.8120864518541789,0.8139154753943911,0.8047703576933305,0.8047703576933305,4902400.0
1970-02-03,110.25,112.87,110.25,112.0,38600.0,0.0,1.0,0.8065993812335426,0.8257675479349657,0.8065993812335426,0.8194025460150274,2470400.0
1970-02-04,112.0,113.0,112.0,112.25,12000.0,0.0,1.0,0.8194025460150274,0.8267186401758759,0.8194025460150274,0.8212315695552396,768000.0
1970-02-05,112.25,112.87,111.75,112.5,14200.0,0.0,1.0,0.8212315695552396,0.8257675479349657,0.8175735224748153,0.8230605930954517,908800.0
1970-02-06,112.5,114.5,112.25,114.0,16600.0,0.0,1.0,0.8230605930954517,0.8376927814171485,0.8212315695552396,0.8340347343367244,1062400.0
1970-02-09,114.0,115.5,113.37,115.0,20000.0,0.0,1.0,0.8340347343367244,0.845008875577997,0.8294255950153898,0.8413508284975728,1280000.0
1970-02-10,115.0,115.0,114.5,114.75,9000.0,0.0,1.0,0.8413508284975728,0.8413508284975728,0.8376927814171485,0.8395218049573607,576000.0
1970-02-11,114.75,115.0,114.0,115.0,20600.0,0.0,1.0,0.8395218049573607,0.8413508284975728,0.8340347343367244,0.8413508284975728,1318400.0
1970-02-12,115.25,116.25,115.25,116.0,24800.0,0.0,1.0,0.8431798520377849,0.8504959461986333,0.8431798520377849,0.8486669226584213,1587200.0
1970-02-13,115.75,115.75,114.0,114.5,48400.0,0.0,1.0,0.8468378991182092,0.8468378991182092,0.8340347343367244,0.8376927814171485,3097600.0
1970-02-16,114.5,116.75,114.5,114.63,13600.0,0.0,1.0,0.8376927814171485,0.8541539932790576,0.8376927814171485,0.8386438736580588,870400.0
1970-02-17,114.5,114.5,109.5,110.5,48200.0,0.0,1.0,0.8376927814171485,0.8376927814171485,0.8011123106129062,0.8084284047737548,3084800.0
1970-02-18,110.38,110.38,107.62,108.0,40600.0,0.0,1.0,0.8075504734744529,0.8075504734744529,0.7873580535905113,0.7901381693716336,2598400.0
1970-02-19,108.0,108.5,107.0,108.5,64400.0,0.0,1.0,0.7901381693716336,0.7937962164520578,0.7828220752107852,0.7937962164520578,4121600.0
1970-02-20,108.5,109.13,108.25,108.25,26400.0,0.0,1.0,0.7937962164520578,0.7984053557733923,0.7919671929118457,0.7919671929118457,1689600.0
1970-02-24,108.25,108.75,107.5,108.75,30800.0,0.0,1.0,0.7919671929118457,0.79562523999227,0.7864801222912093,0.79562523999227,1971200.0
